DES,HBA,HBD,MR,T/K,Dexp
DES7,ChCl,Gly,1.2,327.28,1.1602
DES7,ChCl,Gly,1.2,337.04,1.1551
DES7,ChCl,Gly,1.2,341.7,1.1528
DES7,ChCl,Gly,1.2,351.83,1.1475
DES7,ChCl,Gly,1.2,353.56,1.1465
DES8,ChCl,Gly,1.3,309,1.1847
DES8,ChCl,Gly,1.3,318.78,1.1791
DES8,ChCl,Gly,1.3,326.62,1.1743
DES8,ChCl,Gly,1.3,332.86,1.1705
DES8,ChCl,Gly,1.3,337.63,1.1678
DES8,ChCl,Gly,1.3,341.39,1.1655
DES8,ChCl,Gly,1.3,345.52,1.1630
DES8,ChCl,Gly,1.3,352.54,1.1591
DES9,ChCl,Gly,1.4,308.38,1.1947
DES9,ChCl,Gly,1.4,313.47,1.1917
DES9,ChCl,Gly,1.4,315.42,1.1905
DES9,ChCl,Gly,1.4,320.24,1.1879
DES9,ChCl,Gly,1.4,327.28,1.1841
DES9,ChCl,Gly,1.4,337.04,1.1788
DES9,ChCl,Gly,1.4,341.7,1.1763
DES9,ChCl,Gly,1.4,351.83,1.1712
DES9,ChCl,Gly,1.4,353.56,1.1701
DES10,ChCl,Gly,1.5,309.03,1.2098
DES10,ChCl,Gly,1.5,311.39,1.2085
DES10,ChCl,Gly,1.5,319.47,1.2043
DES10,ChCl,Gly,1.5,326.26,1.2005
DES10,ChCl,Gly,1.5,329.86,1.1986
DES10,ChCl,Gly,1.5,336.61,1.1951
DES10,ChCl,Gly,1.5,341.88,1.1921
DES10,ChCl,Gly,1.5,345.98,1.1898
DES10,ChCl,Gly,1.5,353.42,1.1858
DES11,ChCl,TEG,1.1,308.49,1.1128
DES11,ChCl,TEG,1.1,314.19,1.1094
DES11,ChCl,TEG,1.1,315.43,1.1086
DES11,ChCl,TEG,1.1,318.82,1.1065
DES11,ChCl,TEG,1.1,323.43,1.1037
DES11,ChCl,TEG,1.1,326.27,1.1021
DES11,ChCl,TEG,1.1,335.26,1.0965
DES11,ChCl,TEG,1.1,340.44,1.0935
DES11,ChCl,TEG,1.1,342.02,1.0924
DES11,ChCl,TEG,1.1,345.04,1.0906
DES11,ChCl,TEG,1.1,347.66,1.0891
DES11,ChCl,TEG,1.1,353.12,1.0857
DES12,ChCl,TEG,1.2,308.99,1.1135
DES12,ChCl,TEG,1.2,313,1.111
DES12,ChCl,TEG,1.2,320.38,1.1065
DES12,ChCl,TEG,1.2,324.23,1.1042
DES12,ChCl,TEG,1.2,327.6,1.1021
DES12,ChCl,TEG,1.2,333.48,1.0985
DES12,ChCl,TEG,1.2,338.39,1.0956
DES12,ChCl,TEG,1.2,340.72,1.0941
DES12,ChCl,TEG,1.2,342.59,1.0929
DES12,ChCl,TEG,1.2,345.33,1.0912
DES12,ChCl,TEG,1.2,347.63,1.0898
DES12,ChCl,TEG,1.2,353.29,1.0863
DES13,ChCl,TEG,1.3,308.42,1.1149
DES13,ChCl,TEG,1.3,311.68,1.1129
DES13,ChCl,TEG,1.3,315.56,1.1104
DES13,ChCl,TEG,1.3,317.11,1.1094
DES13,ChCl,TEG,1.3,321.61,1.1067
DES13,ChCl,TEG,1.3,323.56,1.1055
DES13,ChCl,TEG,1.3,325.56,1.1042
DES13,ChCl,TEG,1.3,328.09,1.1027
DES13,ChCl,TEG,1.3,336.57,1.0974
DES13,ChCl,TEG,1.3,339.11,1.0959
DES13,ChCl,TEG,1.3,341.21,1.0946
DES13,ChCl,TEG,1.3,343.22,1.0934
DES13,ChCl,TEG,1.3,346.5,1.0913
DES13,ChCl,TEG,1.3,352.93,1.0873
DES14,ChCl,TEG,1.4,309.28,1.1152
DES14,ChCl,TEG,1.4,312.6,1.1131
DES14,ChCl,TEG,1.4,317.32,1.1101
DES14,ChCl,TEG,1.4,323.43,1.1066
DES14,ChCl,TEG,1.4,333.57,1.1002
DES14,ChCl,TEG,1.4,336.86,1.0981
DES14,ChCl,TEG,1.4,341.88,1.095
DES14,ChCl,TEG,1.4,346.27,1.0924
DES14,ChCl,TEG,1.4,350.54,1.0897
DES14,ChCl,TEG,1.4,352.53,1.0885
DES15,ChCl,TEG,1.5,309.1,1.1157
DES15,ChCl,TEG,1.5,312.28,1.1138
DES15,ChCl,TEG,1.5,316.16,1.1114
DES15,ChCl,TEG,1.5,318.77,1.1099
DES15,ChCl,TEG,1.5,323.47,1.1071
DES15,ChCl,TEG,1.5,325.78,1.1057
DES15,ChCl,TEG,1.5,327.93,1.1044
DES15,ChCl,TEG,1.5,329.34,1.1036
DES15,ChCl,TEG,1.5,331.32,1.1024
DES15,ChCl,TEG,1.5,333.72,1.1011
DES15,ChCl,TEG,1.5,335.44,1.1001
DES15,ChCl,TEG,1.5,338.46,1.0983
DES15,ChCl,TEG,1.5,347.68,1.0926
DES15,ChCl,TEG,1.5,353.25,1.0893
DES17,MTPB,EG,1.2,309.07,1.2751
DES17,MTPB,EG,1.2,310.88,1.2741
DES17,MTPB,EG,1.2,312.87,1.2729
DES17,MTPB,EG,1.2,315.16,1.2715
DES17,MTPB,EG,1.2,316.7,1.2707
DES17,MTPB,EG,1.2,320.24,1.2686
DES17,MTPB,EG,1.2,323.92,1.2664
DES17,MTPB,EG,1.2,327.79,1.2641
DES17,MTPB,EG,1.2,334.4,1.2602
DES17,MTPB,EG,1.2,338.52,1.2576
DES17,MTPB,EG,1.2,344.71,1.254
DES17,MTPB,EG,1.2,347.94,1.2521
DES17,MTPB,EG,1.2,351.8,1.2499
DES17,MTPB,EG,1.2,353.42,1.2489
DES18,MTPB,EG,1.3,309.19,1.2424
DES18,MTPB,EG,1.3,314.19,1.2394
DES18,MTPB,EG,1.3,315.86,1.2385
DES18,MTPB,EG,1.3,318.39,1.2371
DES18,MTPB,EG,1.3,321.48,1.2354
DES18,MTPB,EG,1.3,325.86,1.2328
DES18,MTPB,EG,1.3,327.61,1.2318
DES18,MTPB,EG,1.3,332.07,1.2291
DES18,MTPB,EG,1.3,334.18,1.228
DES18,MTPB,EG,1.3,339.03,1.2251
DES18,MTPB,EG,1.3,342.91,1.2227
DES18,MTPB,EG,1.3,345.5,1.2213
DES18,MTPB,EG,1.3,347.79,1.2201
DES18,MTPB,EG,1.3,352.89,1.2171
DES19,MTPB,EG,1.4,308.77,1.2224
DES19,MTPB,EG,1.4,310.79,1.2212
DES19,MTPB,EG,1.4,312.37,1.2204
DES19,MTPB,EG,1.4,314.51,1.2191
DES19,MTPB,EG,1.4,315.55,1.2186
DES19,MTPB,EG,1.4,320.71,1.2155
DES19,MTPB,EG,1.4,322.63,1.2145
DES19,MTPB,EG,1.4,329.12,1.2106
DES19,MTPB,EG,1.4,333.54,1.2079
DES19,MTPB,EG,1.4,337.71,1.2055
DES19,MTPB,EG,1.4,341.7,1.2031
DES19,MTPB,EG,1.4,347.79,1.1996
DES19,MTPB,EG,1.4,350.71,1.1979
DES19,MTPB,EG,1.4,353.52,1.1962
DES20,MTPB,EG,1.5,309.06,1.2057
DES20,MTPB,EG,1.5,314.34,1.2027
DES20,MTPB,EG,1.5,317.46,1.2008
DES20,MTPB,EG,1.5,323.07,1.1973
DES20,MTPB,EG,1.5,324.73,1.1964
DES20,MTPB,EG,1.5,329.81,1.1936
DES20,MTPB,EG,1.5,333.6,1.1914
DES20,MTPB,EG,1.5,336.79,1.1898
DES20,MTPB,EG,1.5,340.57,1.1877
DES20,MTPB,EG,1.5,344.86,1.1854
DES20,MTPB,EG,1.5,347.49,1.1839
DES20,MTPB,EG,1.5,350.54,1.1825
DES20,MTPB,EG,1.5,352.63,1.1813
DES22,MTPB,Gly,1.2,309.27,1.2919
DES22,MTPB,Gly,1.2,311.87,1.2902
DES22,MTPB,Gly,1.2,315.48,1.2879
DES22,MTPB,Gly,1.2,318.62,1.2858
DES22,MTPB,Gly,1.2,320.83,1.2843
DES22,MTPB,Gly,1.2,323.57,1.2826
DES22,MTPB,Gly,1.2,326.62,1.2805
DES22,MTPB,Gly,1.2,331.09,1.2776
DES22,MTPB,Gly,1.2,332.51,1.2767
DES22,MTPB,Gly,1.2,335.44,1.2747
DES22,MTPB,Gly,1.2,337.68,1.2733
DES22,MTPB,Gly,1.2,339.5,1.2722
DES22,MTPB,Gly,1.2,342.62,1.2701
DES22,MTPB,Gly,1.2,347.55,1.2669
DES22,MTPB,Gly,1.2,351.23,1.2645
DES22,MTPB,Gly,1.2,353.38,1.2632
DES23,MTPB,Gly,1.3,309.02,1.2886
DES23,MTPB,Gly,1.3,311.23,1.2871
DES23,MTPB,Gly,1.3,313.79,1.2854
DES23,MTPB,Gly,1.3,316.29,1.2838
DES23,MTPB,Gly,1.3,318.97,1.2821
DES23,MTPB,Gly,1.3,321.41,1.2805
DES23,MTPB,Gly,1.3,324.86,1.2782
DES23,MTPB,Gly,1.3,326.62,1.2771
DES23,MTPB,Gly,1.3,329.78,1.275
DES23,MTPB,Gly,1.3,332.76,1.2731
DES23,MTPB,Gly,1.3,338.74,1.2693
DES23,MTPB,Gly,1.3,342.18,1.2671
DES23,MTPB,Gly,1.3,345.11,1.2652
DES23,MTPB,Gly,1.3,348.74,1.2629
DES23,MTPB,Gly,1.3,351.07,1.2614
DES23,MTPB,Gly,1.3,352.22,1.2608
DES24,MTPB,Gly,1.4,308.04,1.2869
DES24,MTPB,Gly,1.4,309.86,1.2858
DES24,MTPB,Gly,1.4,313.27,1.2835
DES24,MTPB,Gly,1.4,316.03,1.2818
DES24,MTPB,Gly,1.4,319.13,1.2798
DES24,MTPB,Gly,1.4,322.69,1.2774
DES24,MTPB,Gly,1.4,325.51,1.2756
DES24,MTPB,Gly,1.4,328.09,1.2739
DES24,MTPB,Gly,1.4,331.14,1.272
DES24,MTPB,Gly,1.4,333.89,1.2702
DES24,MTPB,Gly,1.4,336.63,1.2685
DES24,MTPB,Gly,1.4,340.01,1.2663
DES24,MTPB,Gly,1.4,345.62,1.2627
DES24,MTPB,Gly,1.4,348.43,1.2607
DES24,MTPB,Gly,1.4,350.8,1.2592
DES24,MTPB,Gly,1.4,352.73,1.2579
DES25,MTPB,Gly,1.5,307.68,1.2851
DES25,MTPB,Gly,1.5,310.49,1.2832
DES25,MTPB,Gly,1.5,312.74,1.2817
DES25,MTPB,Gly,1.5,315.89,1.2794
DES25,MTPB,Gly,1.5,320.26,1.2764
DES25,MTPB,Gly,1.5,323.98,1.2742
DES25,MTPB,Gly,1.5,326.17,1.2726
DES25,MTPB,Gly,1.5,329.56,1.2702
DES25,MTPB,Gly,1.5,332.51,1.2682
DES25,MTPB,Gly,1.5,335.02,1.2666
DES25,MTPB,Gly,1.5,338.16,1.2646
DES25,MTPB,Gly,1.5,341.29,1.2627
DES25,MTPB,Gly,1.5,344.21,1.2607
DES25,MTPB,Gly,1.5,348.122,1.2586
DES25,MTPB,Gly,1.5,350.54,1.2571
DES25,MTPB,Gly,1.5,352.54,1.256
DES27,MTPB,TEG,1.2,309.12,1.1845
DES27,MTPB,TEG,1.2,312.56,1.1825
DES27,MTPB,TEG,1.2,315.93,1.1807
DES27,MTPB,TEG,1.2,319.27,1.1788
DES27,MTPB,TEG,1.2,322.92,1.1769
DES27,MTPB,TEG,1.2,326.24,1.1752
DES27,MTPB,TEG,1.2,327.62,1.1745
DES27,MTPB,TEG,1.2,329.8,1.1732
DES27,MTPB,TEG,1.2,334.67,1.1708
DES27,MTPB,TEG,1.2,336.34,1.1701
DES27,MTPB,TEG,1.2,339.43,1.1683
DES27,MTPB,TEG,1.2,342.69,1.1665
DES27,MTPB,TEG,1.2,344.42,1.1656
DES27,MTPB,TEG,1.2,348.05,1.1635
DES27,MTPB,TEG,1.2,350,1.1626
DES27,MTPB,TEG,1.2,353,1.1611
DES28,MTPB,TEG,1.3,308.69,1.1819
DES28,MTPB,TEG,1.3,313.04,1.1798
DES28,MTPB,TEG,1.3,315.52,1.1785
DES28,MTPB,TEG,1.3,318.68,1.1769
DES28,MTPB,TEG,1.3,321.75,1.1751
DES28,MTPB,TEG,1.3,324.63,1.1734
DES28,MTPB,TEG,1.3,325.43,1.1731
DES28,MTPB,TEG,1.3,327.83,1.1719
DES28,MTPB,TEG,1.3,330.98,1.1704
DES28,MTPB,TEG,1.3,333,1.1694
DES28,MTPB,TEG,1.3,335.31,1.1682
DES28,MTPB,TEG,1.3,337.57,1.1669
DES28,MTPB,TEG,1.3,341.03,1.1651
DES28,MTPB,TEG,1.3,344.21,1.1633
DES28,MTPB,TEG,1.3,346.27,1.162
DES28,MTPB,TEG,1.3,348.47,1.1609
DES28,MTPB,TEG,1.3,353.01,1.1586
DES29,MTPB,TEG,1.4,308.33,1.1801
DES29,MTPB,TEG,1.4,311.56,1.1784
DES29,MTPB,TEG,1.4,315.95,1.176
DES29,MTPB,TEG,1.4,317.68,1.1751
DES29,MTPB,TEG,1.4,319.18,1.1743
DES29,MTPB,TEG,1.4,322.68,1.1724
DES29,MTPB,TEG,1.4,327.47,1.1701
DES29,MTPB,TEG,1.4,331.03,1.168
DES29,MTPB,TEG,1.4,332.99,1.1669
DES29,MTPB,TEG,1.4,337.77,1.1643
DES29,MTPB,TEG,1.4,341.25,1.1624
DES29,MTPB,TEG,1.4,344.56,1.1606
DES29,MTPB,TEG,1.4,345.6,1.1602
DES29,MTPB,TEG,1.4,348.25,1.1587
DES29,MTPB,TEG,1.4,351.09,1.1571
DES29,MTPB,TEG,1.4,352.76,1.1563
DES30,MTPB,TEG,1.5,308.11,1.1787
DES30,MTPB,TEG,1.5,312.36,1.1763
DES30,MTPB,TEG,1.5,315.93,1.1745
DES30,MTPB,TEG,1.5,318.92,1.1728
DES30,MTPB,TEG,1.5,322.66,1.1707
DES30,MTPB,TEG,1.5,324.45,1.1697
DES30,MTPB,TEG,1.5,329.99,1.1668
DES30,MTPB,TEG,1.5,332.35,1.1655
DES30,MTPB,TEG,1.5,334.53,1.1643
DES30,MTPB,TEG,1.5,336.41,1.1633
DES30,MTPB,TEG,1.5,339.19,1.1617
DES30,MTPB,TEG,1.5,344.25,1.1591
DES30,MTPB,TEG,1.5,347.77,1.1572
DES30,MTPB,TEG,1.5,350.58,1.1557
DES30,MTPB,TEG,1.5,353.86,1.1539
DES32,TBAB,EG,1.2,309.22,1.0622
DES32,TBAB,EG,1.2,311.36,1.0602
DES32,TBAB,EG,1.2,314.79,1.0571
DES32,TBAB,EG,1.2,321.87,1.0497
DES32,TBAB,EG,1.2,329.5,1.0415
DES32,TBAB,EG,1.2,335.25,1.0352
DES32,TBAB,EG,1.2,339.95,1.0308
DES32,TBAB,EG,1.2,345.58,1.0243
DES32,TBAB,EG,1.2,349.49,1.02
DES32,TBAB,EG,1.2,352.96,1.016
DES33,TBAB,EG,1.3,309.19,1.0652
DES33,TBAB,EG,1.3,312.39,1.0623
DES33,TBAB,EG,1.3,316.33,1.0586
DES33,TBAB,EG,1.3,319.9,1.0546
DES33,TBAB,EG,1.3,328.42,1.0455
DES33,TBAB,EG,1.3,334.41,1.0393
DES33,TBAB,EG,1.3,337.61,1.0355
DES33,TBAB,EG,1.3,341.57,1.0311
DES33,TBAB,EG,1.3,344.25,1.0286
DES33,TBAB,EG,1.3,348.59,1.0234
DES33,TBAB,EG,1.3,352.89,1.0186
DES34,TBAB,EG,1.4,308.77,1.0691
DES34,TBAB,EG,1.4,310.47,1.0674
DES34,TBAB,EG,1.4,314.94,1.0627
DES34,TBAB,EG,1.4,317.41,1.0601
DES34,TBAB,EG,1.4,322.24,1.0548
DES34,TBAB,EG,1.4,328.84,1.0476
DES34,TBAB,EG,1.4,334.9,1.0412
DES34,TBAB,EG,1.4,339.28,1.0368
DES34,TBAB,EG,1.4,346.98,1.0285
DES34,TBAB,EG,1.4,350.86,1.0244
DES34,TBAB,EG,1.4,353.29,1.0219
DES35,TBAB,EG,1.5,309.07,1.0738
DES35,TBAB,EG,1.5,311.57,1.0713
DES35,TBAB,EG,1.5,312.93,1.0694
DES35,TBAB,EG,1.5,319.93,1.0618
DES35,TBAB,EG,1.5,323.06,1.0584
DES35,TBAB,EG,1.5,330.19,1.0504
DES35,TBAB,EG,1.5,338.43,1.0403
DES35,TBAB,EG,1.5,341.29,1.0374
DES35,TBAB,EG,1.5,347.29,1.0307
DES35,TBAB,EG,1.5,348.17,1.0298
DES35,TBAB,EG,1.5,352.82,1.0252
DES36,TBAB,Gly,1.1,308.2,1.1256
DES36,TBAB,Gly,1.1,310.19,1.1241
DES36,TBAB,Gly,1.1,314.8,1.1211
DES36,TBAB,Gly,1.1,321.23,1.1171
DES36,TBAB,Gly,1.1,325.11,1.1146
DES36,TBAB,Gly,1.1,331.27,1.1106
DES36,TBAB,Gly,1.1,341.34,1.1042
DES36,TBAB,Gly,1.1,347.96,1.1
DES36,TBAB,Gly,1.1,352.8,1.097
DES37,TBAB,Gly,1.2,308.94,1.129
DES37,TBAB,Gly,1.2,313.3,1.1257
DES37,TBAB,Gly,1.2,317.43,1.123
DES37,TBAB,Gly,1.2,323.22,1.1189
DES37,TBAB,Gly,1.2,326.37,1.1168
DES37,TBAB,Gly,1.2,330.62,1.1139
DES37,TBAB,Gly,1.2,338.46,1.1086
DES37,TBAB,Gly,1.2,345.96,1.1035
DES37,TBAB,Gly,1.2,348.41,1.1017
DES37,TBAB,Gly,1.2,351.53,1.0997
DES37,TBAB,Gly,1.2,353.23,1.0985
DES38,TBAB,Gly,1.3,308.69,1.1326
DES38,TBAB,Gly,1.3,314.36,1.1282
DES38,TBAB,Gly,1.3,321.03,1.1237
DES38,TBAB,Gly,1.3,324.91,1.1208
DES38,TBAB,Gly,1.3,332.77,1.1154
DES38,TBAB,Gly,1.3,336.96,1.1125
DES38,TBAB,Gly,1.3,342.19,1.1089
DES38,TBAB,Gly,1.3,344.93,1.107
DES38,TBAB,Gly,1.3,347.57,1.1053
DES38,TBAB,Gly,1.3,353.36,1.1011
DES39,TBAB,Gly,1.4,308.4,1.1363
DES39,TBAB,Gly,1.4,312.51,1.133
DES39,TBAB,Gly,1.4,315.49,1.1309
DES39,TBAB,Gly,1.4,319.84,1.1279
DES39,TBAB,Gly,1.4,325.84,1.1236
DES39,TBAB,Gly,1.4,333.93,1.1179
DES39,TBAB,Gly,1.4,336.77,1.1158
DES39,TBAB,Gly,1.4,341.02,1.1128
DES39,TBAB,Gly,1.4,348.84,1.1073
DES39,TBAB,Gly,1.4,352.89,1.1044
DES40,TBAB,Gly,1.5,308.29,1.1406
DES40,TBAB,Gly,1.5,312.39,1.1375
DES40,TBAB,Gly,1.5,314.27,1.1361
DES40,TBAB,Gly,1.5,326.56,1.1271
DES40,TBAB,Gly,1.5,332.47,1.1227
DES40,TBAB,Gly,1.5,339.62,1.1176
DES40,TBAB,Gly,1.5,345.52,1.1133
DES40,TBAB,Gly,1.5,352.09,1.1084
DES40,TBAB,Gly,1.5,353.73,1.1072
DES41,TBAB,TEG,1.1,308.19,1.0856
DES41,TBAB,TEG,1.1,315.27,1.0799
DES41,TBAB,TEG,1.1,321.37,1.0748
DES41,TBAB,TEG,1.1,323.85,1.0727
DES41,TBAB,TEG,1.1,325.19,1.0717
DES41,TBAB,TEG,1.1,327.91,1.0694
DES41,TBAB,TEG,1.1,333.7,1.0647
DES41,TBAB,TEG,1.1,337.6,1.0617
DES41,TBAB,TEG,1.1,341.72,1.0583
DES41,TBAB,TEG,1.1,343.78,1.0564
DES41,TBAB,TEG,1.1,345.59,1.0549
DES41,TBAB,TEG,1.1,351.31,1.0502
DES41,TBAB,TEG,1.1,353.22,1.0486
DES42,TBAB,TEG,1.2,308.2,1.0801
DES42,TBAB,TEG,1.2,317.05,1.0732
DES42,TBAB,TEG,1.2,320.68,1.0703
DES42,TBAB,TEG,1.2,325.78,1.0665
DES42,TBAB,TEG,1.2,328.54,1.0643
DES42,TBAB,TEG,1.2,332.45,1.0614
DES42,TBAB,TEG,1.2,335.79,1.0588
DES42,TBAB,TEG,1.2,342.73,1.0533
DES42,TBAB,TEG,1.2,344.21,1.0522
DES42,TBAB,TEG,1.2,350.38,1.0476
DES42,TBAB,TEG,1.2,352.34,1.0462
DES43,TBAB,TEG,1.3,308.8,1.0821
DES43,TBAB,TEG,1.3,311.88,1.0799
DES43,TBAB,TEG,1.3,315.11,1.0775
DES43,TBAB,TEG,1.3,318.27,1.0752
DES43,TBAB,TEG,1.3,321.5,1.0729
DES43,TBAB,TEG,1.3,325.36,1.0703
DES43,TBAB,TEG,1.3,330.73,1.0664
DES43,TBAB,TEG,1.3,336.61,1.0621
DES43,TBAB,TEG,1.3,341.29,1.0588
DES43,TBAB,TEG,1.3,345.51,1.0557
DES43,TBAB,TEG,1.3,349.16,1.0529
DES43,TBAB,TEG,1.3,351.48,1.0512
DES43,TBAB,TEG,1.3,353.57,1.0497
DES44,TBAB,TEG,1.4,308.76,1.0846
DES44,TBAB,TEG,1.4,311.01,1.083
DES44,TBAB,TEG,1.4,313.88,1.0813
DES44,TBAB,TEG,1.4,315.56,1.0802
DES44,TBAB,TEG,1.4,319.09,1.0782
DES44,TBAB,TEG,1.4,323.48,1.0751
DES44,TBAB,TEG,1.4,328.01,1.0721
DES44,TBAB,TEG,1.4,330.1,1.0707
DES44,TBAB,TEG,1.4,335.44,1.0674
DES44,TBAB,TEG,1.4,338.42,1.0651
DES44,TBAB,TEG,1.4,342.87,1.0622
DES44,TBAB,TEG,1.4,350.32,1.0571
DES44,TBAB,TEG,1.4,353.47,1.055
DES45,TBAB,TEG,1.5,308.95,1.0642
DES45,TBAB,TEG,1.5,310.57,1.0631
DES45,TBAB,TEG,1.5,313.38,1.0612
DES45,TBAB,TEG,1.5,315.73,1.0601
DES45,TBAB,TEG,1.5,317.31,1.0591
DES45,TBAB,TEG,1.5,319.56,1.0576
DES45,TBAB,TEG,1.5,322.32,1.0557
DES45,TBAB,TEG,1.5,325.86,1.0533
DES45,TBAB,TEG,1.5,327.81,1.0523
DES45,TBAB,TEG,1.5,330.26,1.0507
DES45,TBAB,TEG,1.5,333.39,1.0487
DES45,TBAB,TEG,1.5,336.14,1.0469
DES45,TBAB,TEG,1.5,340.21,1.0441
DES45,TBAB,TEG,1.5,343.16,1.0422
DES45,TBAB,TEG,1.5,349.41,1.0384
DES45,TBAB,TEG,1.5,352.32,1.037
